Graph:
uk.ac.bris.cs.scotlandyard.model.a@24dbf93 -> uk.ac.bris.cs.scotlandyard.model.a@25cff93e [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@24dbf93 -> uk.ac.bris.cs.scotlandyard.model.a@e5c7c3e [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@24dbf93 -> uk.ac.bris.cs.scotlandyard.model.a@7dd3ca15 [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@24dbf93 -> uk.ac.bris.cs.scotlandyard.model.a@120d531b [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@540072c2 -> uk.ac.bris.cs.scotlandyard.model.a@4606df56 [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@540072c2 -> uk.ac.bris.cs.scotlandyard.model.a@4f8d9149 [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@540072c2 -> uk.ac.bris.cs.scotlandyard.model.a@37609935 [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@540072c2 -> uk.ac.bris.cs.scotlandyard.model.a@751c49f1 [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@540072c2 -> uk.ac.bris.cs.scotlandyard.model.a@22ddb90a [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@65a21906 -> uk.ac.bris.cs.scotlandyard.model.a@4db0faa0 [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@65a21906 -> uk.ac.bris.cs.scotlandyard.model.a@2a78e951 [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@65a21906 -> uk.ac.bris.cs.scotlandyard.model.a@3dbc6e2e [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@65a21906 -> uk.ac.bris.cs.scotlandyard.model.a@55f0e41c [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@65a21906 -> uk.ac.bris.cs.scotlandyard.model.a@38afa039 [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@be32d92 -> uk.ac.bris.cs.scotlandyard.model.a@41ccb3b4 [Value: TAXI(WHITE@53, 69)]
uk.ac.bris.cs.scotlandyard.model.a@be32d92 -> uk.ac.bris.cs.scotlandyard.model.a@17d8e08 [Value: TAXI(WHITE@53, 40)]
uk.ac.bris.cs.scotlandyard.model.a@be32d92 -> uk.ac.bris.cs.scotlandyard.model.a@242fde5d [Value: TAXI(WHITE@53, 54)]
uk.ac.bris.cs.scotlandyard.model.a@41ccb3b4 -> uk.ac.bris.cs.scotlandyard.model.a@5f3b03d3 [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@41ccb3b4 -> uk.ac.bris.cs.scotlandyard.model.a@4a77ddc [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@41ccb3b4 -> uk.ac.bris.cs.scotlandyard.model.a@44b891bb [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@41ccb3b4 -> uk.ac.bris.cs.scotlandyard.model.a@5625b950 [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@41ccb3b4 -> uk.ac.bris.cs.scotlandyard.model.a@60cdcb8b [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@242fde5d -> uk.ac.bris.cs.scotlandyard.model.a@241ab62a [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@242fde5d -> uk.ac.bris.cs.scotlandyard.model.a@2a05a0b1 [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@242fde5d -> uk.ac.bris.cs.scotlandyard.model.a@67aa65e [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@242fde5d -> uk.ac.bris.cs.scotlandyard.model.a@2da71bb9 [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@242fde5d -> uk.ac.bris.cs.scotlandyard.model.a@77a0e566 [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@17d8e08 -> uk.ac.bris.cs.scotlandyard.model.a@37f269e9 [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@17d8e08 -> uk.ac.bris.cs.scotlandyard.model.a@5a12acd1 [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@17d8e08 -> uk.ac.bris.cs.scotlandyard.model.a@64696b6c [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@17d8e08 -> uk.ac.bris.cs.scotlandyard.model.a@5fbf5091 [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@17d8e08 -> uk.ac.bris.cs.scotlandyard.model.a@1492274d [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@70227201 -> uk.ac.bris.cs.scotlandyard.model.a@3cff3027 [Value: TAXI(BLUE@50, 38)]
uk.ac.bris.cs.scotlandyard.model.a@70227201 -> uk.ac.bris.cs.scotlandyard.model.a@543be0cd [Value: TAXI(BLUE@50, 49)]
uk.ac.bris.cs.scotlandyard.model.a@70227201 -> uk.ac.bris.cs.scotlandyard.model.a@6fadb5be [Value: TAXI(BLUE@50, 37)]
uk.ac.bris.cs.scotlandyard.model.a@543be0cd -> uk.ac.bris.cs.scotlandyard.model.a@25f30cd7 [Value: TAXI(WHITE@53, 54)]
uk.ac.bris.cs.scotlandyard.model.a@543be0cd -> uk.ac.bris.cs.scotlandyard.model.a@46172aa6 [Value: TAXI(WHITE@53, 40)]
uk.ac.bris.cs.scotlandyard.model.a@543be0cd -> uk.ac.bris.cs.scotlandyard.model.a@1b00aabf [Value: TAXI(WHITE@53, 69)]
uk.ac.bris.cs.scotlandyard.model.a@1b00aabf -> uk.ac.bris.cs.scotlandyard.model.a@3e1e5a96 [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@1b00aabf -> uk.ac.bris.cs.scotlandyard.model.a@5dcf852e [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@1b00aabf -> uk.ac.bris.cs.scotlandyard.model.a@483236e0 [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@1b00aabf -> uk.ac.bris.cs.scotlandyard.model.a@56f92bd2 [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@1b00aabf -> uk.ac.bris.cs.scotlandyard.model.a@4b41f9a [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@25f30cd7 -> uk.ac.bris.cs.scotlandyard.model.a@6317a09f [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@25f30cd7 -> uk.ac.bris.cs.scotlandyard.model.a@18da627a [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@25f30cd7 -> uk.ac.bris.cs.scotlandyard.model.a@3a4b0400 [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@25f30cd7 -> uk.ac.bris.cs.scotlandyard.model.a@47fb2ba8 [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@25f30cd7 -> uk.ac.bris.cs.scotlandyard.model.a@7a531234 [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@46172aa6 -> uk.ac.bris.cs.scotlandyard.model.a@58afffa7 [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@46172aa6 -> uk.ac.bris.cs.scotlandyard.model.a@710df8bd [Value: TAXI(YELLOW@91, 105)]
